FID,DATASET,DATA_TEAM,RECORD_ID,REFERENCE,TYPE_REF,DATA_TYPE,DATA_AIM,SITE_NAME_CODE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LAT_Y_PUNT,LONG_X_PUN,ID_Camera,PRECISION,DATUM,ORDER,FAMILY,GENUS,SPECIES,IUCN_STATUS,COL_START_DAY,COL_START_MO,COL_START_YR,COL_END_DAY,COL_END_MO,COL_END_YR,METHOD,CAM_TYPE,BAIT,OCCUR,N_RECORDS,EST_ABUN,EST_ABUN_METHOD,LIFE_STAGE,EFFORT_CAM,IND_CAM,MIN_DIST_C,MAX_DIST_C,NAME_AP,DESIG,DESIG_TYPE,IUCN_CAT_AP,STATUS_YR,Cover_Nivel_1,Cover_Nivel_2,Cover_Nivel_3,OBSERVATIONS
1,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R1,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Cingulata,Chlamyphoridae,Cabassous,Cabassous centralis,DD,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
2,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R2,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,16,12.5,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
3,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R3,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
4,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R4,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,0.78125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
5,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R5,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,7,5.46875,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
6,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R6,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
7,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R8,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,VU,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,4,3.125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
8,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R9,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,4,3.125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
9,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R10,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,10,7.8125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
10,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R11,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus sp,NE,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,11,8.59375,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
