FID,DATASET,DATA_TEAM,RECORD_ID,REFERENCE,TYPE_REF,DATA_TYPE,DATA_AIM,SITE_NAME_CODE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LAT_Y_PUNT,LONG_X_PUN,ID_Camera,PRECISION,DATUM,ORDER,FAMILY,GENUS,SPECIES,IUCN_STATUS,COL_START_DAY,COL_START_MO,COL_START_YR,COL_END_DAY,COL_END_MO,COL_END_YR,METHOD,CAM_TYPE,BAIT,OCCUR,N_RECORDS,EST_ABUN,EST_ABUN_METHOD,LIFE_STAGE,EFFORT_N,IND_CAM,MIN_DIST_C,MAX_DIST_C,NAME_AP,DESIG,DESIG_TYPE,IUCN_CAT_AP,STATUS_YR,Cover_Nivel_1,Cover_Nivel_2,Cover_Nivel_3,OBSERVATIONS
1,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC001,NA,Unpublished,Presence only,Primary,El Manso,0,Tierralta,Córdoba,Colombia,7.667361,-76.097222,NA,NA,WGS84,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,LC,16,11,2014,16,11,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,1,0,600,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
2,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC002,NA,Unpublished,Presence only,Primary,El Manso,0,Tierralta,Córdoba,Colombia,7.667361,-76.097222,NA,NA,WGS84,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,LC,1,11,2014,1,11,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,1,0,600,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
3,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC003,NA,Unpublished,Presence only,Primary,El Manso,0,Tierralta,Córdoba,Colombia,7.667361,-76.097222,NA,NA,WGS84,Artiodactyla,Cervidae,Mazama,Mazama sanctaemartae,NE,22,10,2014,22,10,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,1,0,600,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
4,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC004,NA,Unpublished,Presence only,Primary,El Manso,0,Tierralta,Córdoba,Colombia,7.667361,-76.097222,NA,NA,WGS84,Carnivora,Felidae,Puma,Puma concolor,LC,10,10,2014,10,10,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,1,0,600,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
5,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC005,NA,Unpublished,Presence only,Primary,El Manso,0,Tierralta,Córdoba,Colombia,7.667361,-76.097222,NA,NA,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,13,11,2014,13,11,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,54,0,600,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
6,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0262,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.666972,-76.097583,NA,NA,WGS84,Perissodactyla,Tapiridae,Tapirus,Tapirus terrestris,VU,5,3,2014,28,4,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
7,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0263,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.666972,-76.097583,NA,NA,WGS84,Artiodactyla,Tayassuidae,Tayassu,Tayassu pecari,VU,NA,0,2014,0,0,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
8,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0264,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Artiodactyla,Tayassuidae,Dicotyles,Dicotyles tajacu,LC,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
9,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0266,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Carnivora,Felidae,Panthera,Panthera onca,NT,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
10,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0271,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Carnivora,Mustelidae,Eira,Eira barbara,LC,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
11,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0272,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,LC,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
12,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0273,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
13,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0274,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Carnivora,Mustelidae,Neoagle,Neoagle frenata,LC,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
14,JavierRacero_PNN_PARAMILLO,"Racero Casarrubia, J.",JRC0277,NA,Unpublished,Presence only,Primary,Vereda Zancón,0,Tierralta,Córdoba,Colombia,7.66725,-76.097583,NA,NA,WGS84,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,LC,NA,NA,2014,NA,NA,2014,camera trap,Bushnell Trophy Cam,NO,1,0,NA,NA,NA,NA,0,NA,NA,Paramillo,National Natural Park,National,II,1977,2. Agricultural territories,2.4. Heterogeneous agricultural areas,2.4.5. Mosaic of crops with natural spaces,NA
15,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0001,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de Guacamayas,0,Santiago de Tolu,Sucre,Colombia,9.615646,-75.572607,NA,0.12,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,48,14.814815,RAI,NA,324,30,500,1000,Del Sistema Manglarico del Sector de la Boca de Guacamaya,Regional Natural Parks,National,II,2008,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
16,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0002,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de los Navas,0,Tolu Viejo,Sucre,Colombia,9.576065,-75.466061,NA,0.12,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,1,0.298507,RAI,NA,335,30,500,1000,NA,NA,NA,NA,NA,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
17,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0003,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,RFPSC-Coloso,0,Coloso,Sucre,Colombia,9.576204,-75.343168,NA,0.12,WGS84,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,9,2.319588,RAI,NA,388,30,500,1000,Serrania de Coraza y Montes de Maria,National Protective Forest Reserves,National,VI,1983,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
18,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0004,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de Guacamayas,0,Santiago de Tolu,Sucre,Colombia,9.615646,-75.572607,NA,0.12,WGS84,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,13,4.012346,RAI,NA,324,30,500,1000,Del Sistema Manglarico del Sector de la Boca de Guacamaya,Regional Natural Parks,National,II,2008,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
19,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0005,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de los Navas,0,Tolu Viejo,Sucre,Colombia,9.576065,-75.466061,NA,0.12,WGS84,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,2,0.597015,RAI,NA,335,30,500,1000,NA,NA,NA,NA,NA,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
20,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0006,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,RFPSC-Coloso,0,Coloso,Sucre,Colombia,9.576204,-75.343168,NA,0.12,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,7,1.804124,RAI,NA,388,30,500,1000,Serrania de Coraza y Montes de Maria,National Protective Forest Reserves,National,VI,1983,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
21,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0007,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de Guacamayas,0,Santiago de Tolu,Sucre,Colombia,9.615646,-75.572607,NA,0.12,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,8,2.469136,RAI,NA,324,30,500,1000,Del Sistema Manglarico del Sector de la Boca de Guacamaya,Regional Natural Parks,National,II,2008,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
22,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0008,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de los Navas,0,Tolu Viejo,Sucre,Colombia,9.576065,-75.466061,NA,0.12,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,9,2.686567,RAI,NA,335,30,500,1000,NA,NA,NA,NA,NA,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
23,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0009,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,RFPSC-Coloso,0,Coloso,Sucre,Colombia,9.576204,-75.343168,NA,0.12,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,14,3.608247,RAI,NA,388,30,500,1000,Serrania de Coraza y Montes de Maria,National Protective Forest Reserves,National,VI,1983,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
24,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0010,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de Guacamayas,0,Santiago de Tolu,Sucre,Colombia,9.615646,-75.572607,NA,0.12,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,7,2.160494,RAI,NA,324,30,500,1000,Del Sistema Manglarico del Sector de la Boca de Guacamaya,Regional Natural Parks,National,II,2008,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
25,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0011,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de los Navas,0,Tolu Viejo,Sucre,Colombia,9.576065,-75.466061,NA,0.12,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,2,0.597015,RAI,NA,335,30,500,1000,NA,NA,NA,NA,NA,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
26,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0012,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,RFPSC-Coloso,0,Coloso,Sucre,Colombia,9.576204,-75.343168,NA,0.12,WGS84,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,13,3.350515,RAI,NA,388,30,500,1000,Serrania de Coraza y Montes de Maria,National Protective Forest Reserves,National,VI,1983,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
27,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0013,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,Bosque de los Navas,0,Tolu Viejo,Sucre,Colombia,9.576065,-75.466061,NA,0.12,WGS84,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,LC,0,0,0,0,0,2010,camera trap,NA,NO,1,1,0.298507,RAI,NA,335,30,500,1000,NA,NA,NA,NA,NA,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
28,LEF_PUJ_CARSUCRE_Herencia_Ambiental,"Pinedo-Cano, Natalia; Chacon-Pacheco, J; Perez-Torres, J.",LEF-PUJ_0014,CARSUCRE. 2010. Realización de la estrategia para la conservación de la biodiversidad en Sucre a partir de la caracterización de los grandes y  medianos  mamíferos como  herramientas de  planificación  a  escala regional. Informe final del convenio,Report,Abundance,Primary,RFPSC-Coloso,0,Coloso,Sucre,Colombia,9.576204,-75.343168,NA,0.12,WGS84,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus sp,NE,0,0,0,0,0,2010,camera trap,NA,NO,1,6,1.546392,RAI,NA,388,30,500,1000,Serrania de Coraza y Montes de Maria,National Protective Forest Reserves,National,VI,1983,3. Forests and semi-natural areas,3.1. Forest,3.1.1. Dense forest,NA
